,date_time,temp_max,temp_min,temp,feels_like_max,feels_like_min,feels_like
0,2024-10-14,24.3,19.8,21.4,24.3,19.8,21.4
1,2024-10-15,21.5,20.2,20.5,21.5,20.2,20.5
2,2024-10-16,24.8,19.9,21.8,24.8,19.9,21.8
3,2024-10-17,21.8,18.5,20.0,21.8,18.5,20.0
4,2024-10-18,22.7,18.7,20.3,22.7,18.7,20.3
5,2024-10-19,26.5,19.0,22.2,26.5,19.0,22.2
6,2024-10-20,25.7,20.1,22.1,25.7,20.1,22.1
7,2024-10-21,26.9,20.9,23.4,28.6,20.9,23.6
8,2024-10-22,26.1,20.5,22.8,26.1,20.5,22.8
9,2024-10-23,24.9,20.2,21.3,24.9,20.2,21.3
10,2024-10-24,25.2,19.1,21.5,25.2,19.1,21.5
11,2024-10-25,25.3,19.0,21.4,25.3,19.0,21.4
12,2024-10-26,26.3,18.4,21.8,26.3,18.4,21.8
13,2024-10-27,26.4,17.7,22.0,26.4,17.7,22.0
14,2024-10-28,27.4,18.8,22.7,27.5,18.8,22.8
